$ bin/fm-orphan-sweep.sh --dry-run   # real box, default roots, read-only (2026-09-08T23:29:33Z)
orphan sweep: would have removed tmp entry /tmp/TestArmAcceptsInitialReplayFrameBeforeReturning769578622 (52K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-go.log (16K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-sh.log (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-b.log (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-v.log (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-d.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-bt.log (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-tc.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-cg.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-i.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail9.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit319-claude.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fm-timeout-status.724Cvv (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit319-out.txt (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit319-prompt.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/wq.out (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/cs.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bunx-1000-oxlint@latest (33M, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bunx-1000-biome@latest (24M, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail8.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/g2.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/g1.txt (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319b.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319.diff (112K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/rtm452b-attestation.json (8.0K, older than 2 days, nothing is using it)
